symbol,date,entry_time,exit_time,direction,or_high,or_low,stop_pts,tp_pts,contracts,risk_usd,entry,tp,sl,exit,result,points,pnl_usd
NQU4,2024-08-14,2024-08-14 13:51:44+00:00,2024-08-14 13:51:49+00:00,short,19175.5,19043.25,12.0,4.75,2,480.0,19042.75,19038.0,19054.75,19038.0,TP,4.75,190.0
NQU4,2024-08-15,2024-08-15 13:48:02+00:00,2024-08-15 13:49:43+00:00,long,19396.0,19336.25,12.0,4.75,2,480.0,19396.5,19401.25,19384.5,19401.25,TP,4.75,190.0
NQU4,2024-08-16,2024-08-16 14:02:12+00:00,2024-08-16 14:02:18+00:00,long,19534.5,19462.5,12.0,4.75,2,480.0,19535.0,19539.75,19523.0,19539.75,TP,4.75,190.0
NQU4,2024-08-18,,,,0.0,0.0,0.0,0.0,0,0.0,,,,,no_data,0.0,0.0
NQU4,2024-08-19,2024-08-19 13:47:45+00:00,2024-08-19 13:48:58+00:00,long,19617.0,19544.5,12.0,4.75,2,480.0,19617.5,19622.25,19605.5,19622.25,TP,4.75,190.0
NQU4,2024-08-20,2024-08-20 13:46:20+00:00,2024-08-20 13:46:56+00:00,long,19878.5,19817.0,12.0,4.75,2,480.0,19879.0,19883.75,19867.0,19867.0,SL,-12.0,-480.0
NQU4,2024-08-21,2024-08-21 13:45:46+00:00,2024-08-21 13:46:22+00:00,long,19860.5,19813.0,12.0,4.75,2,480.0,19861.0,19865.75,19849.0,19865.75,TP,4.75,190.0
NQU4,2024-08-22,,,,0.0,0.0,0.0,0.0,0,0.0,,,,,no_data,0.0,0.0
