symbol,date,entry_time,exit_time,direction,st_line_at_entry,scale_in_number,risk_usd,contracts,entry,exit,result,points,pnl_usd
NQU4,2024-08-14,2024-08-14 12:30:00+00:00,2024-08-14 23:45:00+00:00,long,19061.3,1,1709.0000000000146,1,19146.75,19106.5,EOD,-40.25,-805.0
NQU4,2024-08-15,2024-08-15 12:30:00+00:00,2024-08-15 23:45:00+00:00,long,19121.425,1,3456.5000000000146,1,19294.25,19613.5,EOD,319.25,6385.0
NQU4,2024-08-16,2024-08-16 14:15:00+00:00,2024-08-16 20:45:00+00:00,long,19431.95,1,2710.9999999999854,1,19567.5,19604.0,EOD,36.5,730.0
NQU4,2024-08-18,,,,0.0,0,0.0,0,,,insufficient_data,0.0,0.0
NQU4,2024-08-19,2024-08-19 14:45:00+00:00,2024-08-19 23:45:00+00:00,long,19570.75,1,1680.0,1,19654.75,19860.0,EOD,205.25,4105.0
NQU4,2024-08-20,2024-08-20 13:45:00+00:00,2024-08-20 23:45:00+00:00,long,19808.6,1,2198.000000000029,1,19918.5,19790.0,EOD,-128.5,-2570.0
NQU4,2024-08-21,2024-08-21 11:00:00+00:00,2024-08-21 23:45:00+00:00,long,19795.1,1,1238.000000000029,1,19857.0,19936.25,EOD,79.25,1585.0
NQU4,2024-08-22,,,,0.0,0,0.0,0,,,insufficient_data,0.0,0.0
